link,judul,tanggal,portal
https://ambon.go.id/ambon-ppkm-mikro-level-2-masuk-mall-wajib-gunakan-aplikasi-peduli-lindungi-smp-se-derajat-mulai-ptm/,"Ambon PPKM Mikro Level 2, Masuk Mall Wajib Gunakan Aplikasi Peduli Lindungi, SMP Se-derajat Mulai PTM",2021-09-21,Pemerintah Kota Ambon
https://www.balidiscovery.com/pedulilindungi-app-required-in-bali/,PeduliLindungi App Required in Bali,2021-09-20,Bali Discovery
https://warta.jogjakota.go.id/detail/index/16975,Destinasi Wisata Diminta Lengkapi CHSE dan QR Code Peduli Lindungi,2021-09-17,Pemerintah Kota Yogyakarta
https://www.nusabali.com/berita/102505/propam-polres-gianyar-sidak-penerapan-aplikasi-peduli-lindungi,Propam Polres Gianyar Sidak Penerapan Aplikasi Peduli Lindungi,2021-09-16,NUSABALI.com
https://timesindonesia.co.id/kopi-times/370245/esensi-peduli-lindungi,Esensi Peduli Lindungi,2021-09-15,TIMES Indonesia
https://kaltara.tribunnews.com/2021/09/14/arti-warna-hijau-kuning-merah-dan-hitam-di-aplikasi-peduli-lindungi-simak-penjelasannya,"Arti Warna Hijau, Kuning, Merah dan Hitam di Aplikasi Peduli Lindungi, Simak Penjelasannya",2021-09-14,kaltara.tribunnews.com
https://setkab.go.id/en/pedulilindungi-app-accommodates-foreign-issued-vaccination-cardholders/,PeduliLindungi App Accommodates Foreign-Issued Vaccination Cardholders,2021-09-14,Sekretariat Kabinet Republik Indonesia
https://depok.tribunnews.com/2021/09/13/terapkan-aplikasi-peduli-lindungi-serta-sertifikat-vaksin-bagi-penumpang-krl-kini-beroperasi-penuh,"Terapkan Aplikasi Peduli Lindungi Serta Sertifikat Vaksin Bagi Penumpang, KRL Kini Beroperasi Penuh",2021-09-13,depok.tribunnews.com
https://riau.harianhaluan.com/nasional/pr-111146321/waspada-phising-website-peduli-lindungi-dipalsukan-oknum-tak-bertanggung-jawab,Waspada Phising! Website Peduli Lindungi Dipalsukan Oknum Tak Bertanggung Jawab - Haluan Riau,2021-09-11,Haluan Riau
https://newsmaker.tribunnews.com/2021/09/10/cara-scan-qr-code-di-aplikasi-peduli-lindungi-untuk-mengetahui-sertifikat-vaksinasi-covid-19?page=2,CARA Scan QR Code di Aplikasi Peduli Lindungi untuk Tunjukkan Bukti Sertifikat Vaksinasi Covid-19,2021-09-10,Tribunnewsmaker.com
https://tirto.id/manfaat-aplikasi-pedulilindungi-selain-untuk-unduh-sertifikat-covid-gjnp,Manfaat Aplikasi PeduliLindungi Selain untuk Unduh Sertifikat Covid,2021-09-09,Tirto.id
https://inet.detik.com/security/d-5716818/ini-15-masalah-di-aplikasi-pedulilindungi-yang-harus-diperbaiki,Ini 15 Masalah di Aplikasi PeduliLindungi yang Harus Diperbaiki,2021-09-09,detikInet
https://health.grid.id/read/352882362/ada-situs-palsu-peduli-lindungi-untuk-sedot-data-warga-kemkominfo-imbau-unduh-hanya-dari-sumber-resmi?page=all,Ada Situs Palsu Peduli Lindungi Untuk Sedot Data Warga? Kemkominfo Imbau Unduh Hanya Dari Sumber Resmi,2021-09-09,Grid Health
